AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202303,4311775,MAQUINÉ,43,RIO GRANDE DO SUL,SU,SUL,12173554.08,47941,3869095.9,4730,14554940.85,32813,5409818.62,10713,3138,236,2931,226
202308,3541703,QUATÁ,35,SÃO PAULO,SE,SUDESTE,26769545.05,149313,6744196.08,9408,25559620.48,89261,8658799.17,20953,6660,439,6372,441
202202,3512605,CORONEL MACEDO,35,SÃO PAULO,SE,SUDESTE,3110682.36,11292,726822.1,518,3263278.39,9121,663005.69,821,1280,48,1279,51
202405,3171808,VIRGINÓPOLIS,31,MINAS GERAIS,SE,SUDESTE,27511144.69,109283,5161900.95,5204,30413971.35,62297,6335107.19,22776,5378,276,5180,272
202409,4201505,ARMAZÉM,42,SANTA CATARINA,SU,SUL,22947237.96,83139,23784919.8,12254,24998536.11,44938,30400289.93,30603,4180,610,3998,555
202108,4125555,SÃO MANOEL DO PARANÁ,41,PARANÁ,SU,SUL,1260575.72,3313,572985.05,303,1192542.9,2739,557283.22,333,511,35,442,30
202310,2928950,SÃO DOMINGOS,29,BAHIA,NE,NORDESTE,16508562.61,116404,4086565.8,5585,16115268.46,74298,4228762.5,14197,4036,231,4061,202
202309,4314308,PEJUÇARA,43,RIO GRANDE DO SUL,SU,SUL,11266229.63,28885,2531546.9,1948,9903589.6,15141,1963829.19,5184,1906,148,1691,152
202501,2503902,CAMALAÚ,25,PARAÍBA,NE,NORDESTE,14206297.08,95906,2169649.39,2511,13568526.31,59196,1841295.56,15801,3196,87,3101,84
202209,2905305,CAFARNAUM,29,BAHIA,NE,NORDESTE,18577919.36,80042,3237226.96,2862,18018209.3,66115,3321195.15,8232,5478,182,5397,174
202111,2503902,CAMALAÚ,25,PARAÍBA,NE,NORDESTE,2726568.7,9399,169885.48,187,3049635.34,9489,219562.04,464,980,29,1113,29
202011,2205532,JUREMA,22,PIAUÍ,NE,NORDESTE,45136.73,154,867.16,4,43128.5,166,4894.0,4,66,2,69,4
202408,4104105,CAMPO DO TENENTE,41,PARANÁ,SU,SUL,19753002.61,148626,19623339.99,11039,20541344.29,71372,17673721.83,23666,4340,284,4273,278
202203,4309555,HARMONIA,43,RIO GRANDE DO SUL,SU,SUL,4697971.58,13514,2393943.11,1509,4763054.84,8680,2603407.3,3114,1763,166,1461,153
202407,2400307,AFONSO BEZERRA,24,RIO GRANDE DO NORTE,NE,NORDESTE,23430224.83,196474,6797949.07,3788,21374886.49,138119,5242278.57,17838,5236,143,5008,131
202212,3204351,RIO BANANAL,32,ESPÍRITO SANTO,SE,SUDESTE,30914979.9,106325,16028444.74,4716,28977495.74,68754,10263323.55,25801,7176,414,6665,415
